Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014015,2024,01,01,29.9,1,N
IDCJAC0011,014015,2024,01,02,25.1,1,N
IDCJAC0011,014015,2024,01,03,25.1,1,N
IDCJAC0011,014015,2024,01,04,25.3,1,N
IDCJAC0011,014015,2024,01,05,25.9,1,N
IDCJAC0011,014015,2024,01,06,27.8,1,N
IDCJAC0011,014015,2024,01,07,26.3,1,N
IDCJAC0011,014015,2024,01,08,26.4,1,N
IDCJAC0011,014015,2024,01,09,26.0,1,N
IDCJAC0011,014015,2024,01,10,25.5,1,N
IDCJAC0011,014015,2024,01,11,25.1,1,N
IDCJAC0011,014015,2024,01,12,24.3,1,N
IDCJAC0011,014015,2024,01,13,25.5,1,N
IDCJAC0011,014015,2024,01,14,26.0,1,N
IDCJAC0011,014015,2024,01,15,25.6,1,N
IDCJAC0011,014015,2024,01,16,26.7,1,N
IDCJAC0011,014015,2024,01,17,24.6,1,N
IDCJAC0011,014015,2024,01,18,27.6,1,N
IDCJAC0011,014015,2024,01,19,26.2,1,N
IDCJAC0011,014015,2024,01,20,27.3,1,N
IDCJAC0011,014015,2024,01,21,26.5,1,N
IDCJAC0011,014015,2024,01,22,25.7,1,N
IDCJAC0011,014015,2024,01,23,27.1,1,N
IDCJAC0011,014015,2024,01,24,24.4,1,N
IDCJAC0011,014015,2024,01,25,24.5,1,N
IDCJAC0011,014015,2024,01,26,24.9,1,N
IDCJAC0011,014015,2024,01,27,24.5,1,N
IDCJAC0011,014015,2024,01,28,24.2,1,N
IDCJAC0011,014015,2024,01,29,25.0,1,N
IDCJAC0011,014015,2024,01,30,22.6,1,N
IDCJAC0011,014015,2024,01,31,22.7,1,N
IDCJAC0011,014015,2024,02,01,26.9,1,N
IDCJAC0011,014015,2024,02,02,27.9,1,N
IDCJAC0011,014015,2024,02,03,28.2,1,N
IDCJAC0011,014015,2024,02,04,28.1,1,N
IDCJAC0011,014015,2024,02,05,28.0,1,N
IDCJAC0011,014015,2024,02,06,27.6,1,N
IDCJAC0011,014015,2024,02,07,27.7,1,N
IDCJAC0011,014015,2024,02,08,25.1,1,N
IDCJAC0011,014015,2024,02,09,26.0,1,N
IDCJAC0011,014015,2024,02,10,25.1,1,N
IDCJAC0011,014015,2024,02,11,24.7,1,N
IDCJAC0011,014015,2024,02,12,24.6,1,N
IDCJAC0011,014015,2024,02,13,24.6,1,N
IDCJAC0011,014015,2024,02,14,24.2,1,N
IDCJAC0011,014015,2024,02,15,24.3,1,N
IDCJAC0011,014015,2024,02,16,26.0,1,N
IDCJAC0011,014015,2024,02,17,23.3,1,N
IDCJAC0011,014015,2024,02,18,26.1,1,N
IDCJAC0011,014015,2024,02,19,28.3,1,N
IDCJAC0011,014015,2024,02,20,26.7,1,N
IDCJAC0011,014015,2024,02,21,27.2,1,N
IDCJAC0011,014015,2024,02,22,27.2,1,N
