Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014015,2024,01,01,35.3,1,N
IDCJAC0010,014015,2024,01,02,35.6,1,N
IDCJAC0010,014015,2024,01,03,33.3,1,N
IDCJAC0010,014015,2024,01,04,35.3,1,N
IDCJAC0010,014015,2024,01,05,35.2,1,N
IDCJAC0010,014015,2024,01,06,35.1,1,N
IDCJAC0010,014015,2024,01,07,32.5,1,N
IDCJAC0010,014015,2024,01,08,34.3,1,N
IDCJAC0010,014015,2024,01,09,29.9,1,N
IDCJAC0010,014015,2024,01,10,30.6,1,N
IDCJAC0010,014015,2024,01,11,28.9,1,N
IDCJAC0010,014015,2024,01,12,30.6,1,N
IDCJAC0010,014015,2024,01,13,31.6,1,N
IDCJAC0010,014015,2024,01,14,30.8,1,N
IDCJAC0010,014015,2024,01,15,30.4,1,N
IDCJAC0010,014015,2024,01,16,30.3,1,N
IDCJAC0010,014015,2024,01,17,31.6,1,N
IDCJAC0010,014015,2024,01,18,30.7,1,N
IDCJAC0010,014015,2024,01,19,30.8,1,N
IDCJAC0010,014015,2024,01,20,31.4,1,N
IDCJAC0010,014015,2024,01,21,32.3,1,N
IDCJAC0010,014015,2024,01,22,32.1,1,N
IDCJAC0010,014015,2024,01,23,32.4,1,N
IDCJAC0010,014015,2024,01,24,28.7,1,N
IDCJAC0010,014015,2024,01,25,28.2,1,N
IDCJAC0010,014015,2024,01,26,31.1,1,N
IDCJAC0010,014015,2024,01,27,30.4,1,N
IDCJAC0010,014015,2024,01,28,28.4,1,N
IDCJAC0010,014015,2024,01,29,31.9,1,N
IDCJAC0010,014015,2024,01,30,28.9,1,N
IDCJAC0010,014015,2024,01,31,31.7,1,N
IDCJAC0010,014015,2024,02,01,32.2,1,N
IDCJAC0010,014015,2024,02,02,32.6,1,N
IDCJAC0010,014015,2024,02,03,31.7,1,N
IDCJAC0010,014015,2024,02,04,32.8,1,N
IDCJAC0010,014015,2024,02,05,33.4,1,N
IDCJAC0010,014015,2024,02,06,33.3,1,N
IDCJAC0010,014015,2024,02,07,33.4,1,N
IDCJAC0010,014015,2024,02,08,33.8,1,N
IDCJAC0010,014015,2024,02,09,32.3,1,N
IDCJAC0010,014015,2024,02,10,32.6,1,N
IDCJAC0010,014015,2024,02,11,31.0,1,N
IDCJAC0010,014015,2024,02,12,28.1,1,N
IDCJAC0010,014015,2024,02,13,28.8,1,N
IDCJAC0010,014015,2024,02,14,30.5,1,N
IDCJAC0010,014015,2024,02,15,33.6,1,N
IDCJAC0010,014015,2024,02,16,33.2,1,N
IDCJAC0010,014015,2024,02,17,32.1,1,N
IDCJAC0010,014015,2024,02,18,32.3,1,N
IDCJAC0010,014015,2024,02,19,32.6,1,N
IDCJAC0010,014015,2024,02,20,32.9,1,N
IDCJAC0010,014015,2024,02,21,33.1,1,N
IDCJAC0010,014015,2024,02,22,33.0,1,N
IDCJAC0010,014015,2024,02,23,34.3,1,N
IDCJAC0010,014015,2024,02,24,31.8,1,N
IDCJAC0010,014015,2024,02,25,35.0,1,N
IDCJAC0010,014015,2024,02,26,30.1,1,N
IDCJAC0010,014015,2024,02,27,31.9,1,N
IDCJAC0010,014015,2024,02,28,32.5,1,N
IDCJAC0010,014015,2024,02,29,34.0,1,N
IDCJAC0010,014015,2024,03,01,33.2,1,N
IDCJAC0010,014015,2024,03,02,33.2,1,N
IDCJAC0010,014015,2024,03,03,32.1,1,N
IDCJAC0010,014015,2024,03,04,32.2,1,N
IDCJAC0010,014015,2024,03,05,33.2,1,N
IDCJAC0010,014015,2024,03,06,30.1,1,N
IDCJAC0010,014015,2024,03,07,30.6,1,N
IDCJAC0010,014015,2024,03,08,32.9,1,N
IDCJAC0010,014015,2024,03,09,32.6,1,N
IDCJAC0010,014015,2024,03,10,33.7,1,N
IDCJAC0010,014015,2024,03,11,31.3,1,N
IDCJAC0010,014015,2024,03,12,30.9,1,N
IDCJAC0010,014015,2024,03,13,30.9,1,N
IDCJAC0010,014015,2024,03,14,29.6,1,N
IDCJAC0010,014015,2024,03,15,30.5,1,N
IDCJAC0010,014015,2024,03,16,30.9,1,N
IDCJAC0010,014015,2024,03,17,32.3,1,N
IDCJAC0010,014015,2024,03,18,31.7,1,N
IDCJAC0010,014015,2024,03,19,32.5,1,N
IDCJAC0010,014015,2024,03,20,32.2,1,N
IDCJAC0010,014015,2024,03,21,31.6,1,N
IDCJAC0010,014015,2024,03,22,31.4,1,N
IDCJAC0010,014015,2024,03,23,32.4,1,N
IDCJAC0010,014015,2024,03,24,33.0,1,N
IDCJAC0010,014015,2024,03,25,32.4,1,N
IDCJAC0010,014015,2024,03,26,33.3,1,N
IDCJAC0010,014015,2024,03,27,32.2,1,N
IDCJAC0010,014015,2024,03,28,34.6,1,N
IDCJAC0010,014015,2024,03,29,34.6,1,N
IDCJAC0010,014015,2024,03,30,32.3,1,N
IDCJAC0010,014015,2024,03,31,32.9,1,N
IDCJAC0010,014015,2024,04,01,33.7,1,N
IDCJAC0010,014015,2024,04,02,33.9,1,N
IDCJAC0010,014015,2024,04,03,32.5,1,N
IDCJAC0010,014015,2024,04,04,33.8,1,N
